Year,Month,Period,Oil Exports,Non-Oil Exports,Oil Imports,Non-Oil Imports
2016-17,April,1,2048.4,18815.1,5716.1,19973.1
2016-17,May,2,2125.1,20281.9,5996.3,22289.9
2016-17,June,3,2601,20054.6,7291.4,23625.7
2016-17,July,4,2572.9,19119.3,6822.7,22482.5
2016-17,August,5,2488.1,19108.9,6789.5,22513.7
2016-17,September,6,2574,20195.1,6911.3,24929.2
2016-17,October,7,2776,20584.6,7261.2,27233.9
2016-17,November,8,2431,17635.2,6864.3,26597.6
2016-17,December,9,2887.4,21169,7667,26935.5
2016-17,January,10,2746.8,19609.5,8174,24087.2
2016-17,February,11,2539.5,22187.2,7719.8,26528.6
2016-17,March,12,3754.8,25546.8,9750.3,30196.4
2017-18,April,13,2839.4,21739.6,7396.2,31438.4
2017-18,May,14,2435.9,21511.1,7734.8,30543.9
2017-18,June,15,2178.6,20834,7677.2,29377.9
2017-18,July,16,2667.5,19625.1,7691.6,26523.4
2017-18,August,17,2898,20457.1,7802.6,28268.1
2017-18,September,18,3471,25096.1,8169.1,29793.6
2017-18,October,19,3043.4,19845.3,9309.3,28192.1
2017-18,November,20,3603,22689.6,9548.5,31841.7
2017-18,December,21,3717.8,24114.8,10345,31685.8
2017-18,January,22,3961.6,21446.1,11659,29042.2
2017-18,February,23,3316.5,22714.2,10196,27675.3
2017-18,March,24,3292,25875.1,11117.7,31683.5
2018-19,April,25,2800.3,23149.2,10464,29503
2018-19,May,26,5174.4,23770.6,11573.6,32343.7
2018-19,June,27,3862.5,23295.6,12764.6,32042
2018-19,July,28,3842.6,21911.7,12331.3,32056.8
2018-19,August,29,3714.9,24093.4,11939.1,33792
2018-19,September,30,4229.7,23636.3,10991.2,31828.4
2018-19,October,31,4244.6,22429.3,14105.9,30572
2018-19,November,32,4705.8,21365.7,13518.3,30136.9
2018-19,December,33,4068.5,23789.8,10783.9,31567.1
2018-19,January,34,3210,23197.4,11253.1,30202.1
2018-19,February,35,3083.4,23778.7,9414,27177.1
2018-19,March,36,3616.9,29108.2,11780.2,31910.2
2019-20,April,37,3556.1,22481.5,11564.3,30822.9
2019-20,May,38,4923.6,24926.1,12592.8,34090.5
2019-20,June,39,2637.2,22390.1,11205,29827.5
2019-20,July,40,3486.7,22744.9,9748.6,30682
2019-20,August,41,3206,22782,10999.4,28852.7
2019-20,September,42,3432.9,22580.8,9086.3,28608.6
2019-20,October,43,3442.4,22770,9728.6,28257.8
2019-20,November,44,3816.1,21928.4,11069.1,27454.1
2019-20,December,45,3629.7,23466.4,10718.9,28875.2
2019-20,January,46,3185.9,22667.4,13009.2,28140.3
2019-20,February,47,3442,24300.8,10780.5,27123.9
2019-20,March,48,2517.7,18973,10047.6,21423.3
2020-21,April,49,1232.1,8927.7,4649.6,12433.8
2020-21,May,50,1714.9,17478.7,3568.2,19285.6
2020-21,June,51,1890.7,20081,4967.5,16352.2
2020-21,July,52,1768.6,21874.2,6530.6,21938.5
2020-21,August,53,1914,20896.3,6440.5,23033.3
2020-21,September,54,3607.8,23961.4,5825.6,24481.1
2020-21,October,55,1567.3,23352.4,6000.3,28073.2
2020-21,November,56,1557.4,22012.2,6314.8,27496.4
2020-21,December,57,2336.6,24883.2,9629,33304.3
2020-21,January,58,2132.3,25385.5,9424.3,32530.8
2020-21,February,59,2464.8,25145.5,9031.4,31515.4
2020-21,March,60,3599.1,31111.7,10271.4,38135.2
2021-22,April,61,3619.5,27113.7,10871.4,34879.8
2021-22,May,62,5319.2,26971.1,9452,29102.4
2021-22,June,63,4022.4,28475.3,10676.2,31195.7
2021-22,July,64,5853.8,29574.2,12894.6,33506.7
